,BASELINE_ANGLE,TOP_MARGIN,LETTER_SIZE,LINE_SPACING,WORD_SPACING,SLANT_ANGLE,IMAGE_NAME
0,0,1,0,0,1,1,a01-000u.png
1,2,0,1,0,2,6,a01-000x.png
2,2,0,1,0,2,6,a01-003.png
3,2,1,2,1,1,1,a01-003u.png
4,1,1,0,1,2,6,a01-003x.png
5,2,0,1,0,0,1,a01-007.png
6,0,1,0,2,1,1,a01-007u.png
7,0,1,0,2,2,6,a01-007x.png
8,2,1,2,2,1,6,a01-011.png
9,1,1,2,2,1,1,a01-011u.png
10,0,1,0,1,0,6,a01-011x.png
11,2,0,2,1,1,1,a01-014.png
12,2,1,2,2,1,1,a01-014u.png
13,0,0,1,2,2,6,a01-014x.png
14,2,0,1,2,2,6,a01-020.png
15,2,0,1,2,2,1,a01-020u.png
16,0,1,0,2,2,6,a01-020x.png
17,1,0,2,2,2,6,a01-026.png
18,1,1,0,1,0,1,a01-026u.png
19,0,0,1,1,2,6,a01-026x.png
20,2,1,2,2,1,6,a01-030.png
21,2,1,0,2,2,1,a01-030u.png
22,2,0,2,2,1,6,a01-030x.png
23,0,1,0,1,2,6,a01-038.png
24,1,1,0,1,2,6,a01-038x.png
25,2,1,0,1,1,6,a01-043.png
26,1,0,1,2,2,1,a01-043u.png
27,0,1,2,1,1,6,a01-043x.png
28,2,1,0,1,2,6,a01-049.png
29,1,1,0,1,2,1,a01-049u.png
30,1,0,2,2,1,6,a01-049x.png
31,1,1,0,1,1,6,a01-053.png
32,0,1,0,2,1,1,a01-053u.png
33,2,0,1,1,2,6,a01-053x.png
34,2,1,0,1,1,6,a01-058.png
35,1,1,2,2,1,1,a01-058u.png
36,0,1,0,1,2,6,a01-058x.png
37,0,1,0,1,1,6,a01-063.png
38,2,0,1,0,2,1,a01-063u.png
39,1,1,2,1,1,6,a01-063x.png
40,0,1,2,2,1,1,a01-068u.png
41,0,0,2,0,2,1,a01-072u.png
42,2,0,1,0,2,6,a01-072x.png
43,2,0,2,1,1,6,a01-077.png
44,2,0,1,0,2,1,a01-077u.png
45,2,1,2,2,1,1,a01-082u.png
46,1,0,2,2,1,6,a01-087.png
47,0,1,2,2,1,1,a01-087u.png
48,1,0,2,1,2,6,a01-091.png
49,2,0,2,0,2,1,a01-091u.png
50,1,1,2,2,1,1,a01-096u.png
51,0,1,0,1,2,6,a01-102.png
52,1,0,2,2,2,1,a01-102u.png
53,2,0,2,2,2,6,a01-107.png
54,2,0,1,2,2,1,a01-107u.png
55,1,1,0,2,1,6,a01-113.png
56,2,1,2,2,1,6,a01-113u.png
57,0,1,0,1,2,1,a01-117.png
58,2,1,2,2,1,1,a01-117u.png
59,2,1,0,2,2,6,a01-122.png
60,2,0,1,2,1,1,a01-122u.png
61,0,1,0,1,0,6,a01-128.png
62,1,1,0,2,0,1,a01-128u.png
63,2,0,2,2,2,6,a01-132.png
64,2,1,2,2,1,6,a01-132u.png
65,0,0,1,2,2,6,a01-132x.png
66,0,0,2,2,1,6,a02-000.png
67,2,1,2,1,1,6,a02-004.png
68,1,0,1,0,2,6,a02-008.png
69,0,0,2,1,2,6,a02-012.png
70,1,1,2,2,1,0,a02-017.png
71,1,1,2,0,1,0,a02-020.png
72,0,0,2,0,2,0,a02-024.png
73,1,1,2,2,0,0,a02-027.png
74,1,1,2,2,0,0,a02-032.png
75,1,1,0,1,0,0,a02-037.png
76,1,0,2,2,2,0,a02-042.png
77,0,0,2,2,2,6,a02-046.png
78,2,0,2,0,1,6,a02-050.png
79,0,1,2,2,1,6,a02-053.png
80,0,1,2,2,1,6,a02-057.png
81,2,0,2,2,2,6,a02-062.png
82,0,1,2,2,1,6,a02-067.png
83,0,1,0,2,0,1,a02-072.png
84,0,0,1,0,0,1,a02-078.png
85,2,0,2,0,1,6,a02-082.png
86,2,1,2,2,1,6,a02-086.png
87,0,0,2,0,1,0,a02-090.png
88,1,1,2,2,1,0,a02-093.png
89,0,0,1,2,2,0,a02-098.png
90,2,1,2,2,0,0,a02-102.png
91,1,0,2,1,2,0,a02-106.png
92,2,0,2,1,2,0,a02-111.png
93,1,0,2,2,2,6,a02-116.png
94,0,1,0,1,1,6,a02-120.png
95,0,0,1,0,0,0,a02-124.png
96,1,1,0,2,2,6,a03-006.png
97,1,1,0,2,0,6,a03-009.png
98,0,1,2,2,1,6,a03-011.png
99,2,1,0,1,2,6,a03-014.png
100,1,0,2,2,2,6,a03-017.png
101,2,1,0,1,1,6,a03-020.png
102,2,1,2,2,1,1,a03-023.png
103,2,0,2,1,2,1,a03-027.png
104,1,0,2,0,1,6,a03-030.png
105,0,1,2,2,1,6,a03-034.png
106,0,0,1,2,2,6,a03-037.png
107,2,0,2,2,1,1,a03-040.png
108,0,1,0,2,2,6,a03-043.png
109,2,0,2,2,1,0,a03-047.png
110,0,1,2,0,0,0,a03-050.png
111,2,1,0,1,1,6,a03-054.png
112,2,1,0,1,0,1,a03-059.png
113,0,1,0,1,0,6,a03-063.png
114,2,0,1,2,2,1,a03-066.png
115,1,0,1,0,2,0,a03-071.png
116,0,0,1,2,2,0,a03-073.png
117,1,0,1,2,2,0,a03-080.png
118,0,0,1,0,2,0,a03-089.png
119,0,1,2,0,1,6,a04-000.png
120,0,1,0,2,0,6,a04-003.png
121,2,1,0,1,1,6,a04-006.png
122,0,1,0,1,0,6,a04-010.png
123,0,0,2,2,2,6,a04-015.png
124,1,1,2,2,1,6,a04-019.png
125,1,1,0,2,2,6,a04-023.png
126,0,1,0,2,0,6,a04-027.png
127,2,0,2,2,2,6,a04-031.png
128,0,0,1,2,2,6,a04-035.png
129,2,1,2,2,1,6,a04-039.png
130,0,0,1,0,2,6,a04-043.png
131,2,1,0,1,2,6,a04-047.png
132,2,1,0,2,0,6,a04-050.png
133,2,1,0,2,0,6,a04-054.png
134,2,0,2,1,2,6,a04-059.png
135,2,0,2,2,1,6,a04-066.png
136,0,1,2,2,1,6,a04-069.png
137,1,0,2,1,1,6,a04-072.png
138,0,1,2,2,1,6,a04-081.png
139,0,1,2,1,1,6,a04-085.png
140,2,1,2,1,1,6,a04-089.png
141,0,0,2,1,2,6,a04-092.png
142,0,1,2,2,1,6,a04-096.png
143,1,0,2,1,2,6,a04-099.png
144,1,0,1,2,2,1,a04-103.png
145,0,0,1,0,2,0,a05-000.png
146,0,0,2,2,2,6,a05-004.png
147,0,0,1,0,2,6,a05-009.png
148,0,0,2,0,0,0,a05-013.png
149,1,0,1,2,0,0,a05-017.png
150,1,0,1,0,0,0,a05-022.png
151,1,0,1,0,0,0,a05-025.png
152,1,0,1,0,0,0,a05-029.png
153,0,0,2,2,2,0,a05-039.png
154,0,1,2,2,1,0,a05-044.png
155,0,0,2,2,0,0,a05-048.png
156,2,0,1,2,0,0,a05-053.png
157,1,0,1,0,0,0,a05-058.png
158,1,0,2,0,2,0,a05-062.png
159,0,0,1,0,2,0,a05-069.png
160,0,1,2,2,0,0,a05-073.png
161,2,1,2,2,1,0,a05-080.png
162,2,0,1,0,2,0,a05-084.png
163,2,1,2,2,0,0,a05-089.png
164,1,1,2,2,1,0,a05-094.png
165,1,0,2,2,0,0,a05-099.png
166,0,0,1,0,2,0,a05-104.png
167,1,1,2,0,1,0,a05-108.png
168,1,0,1,2,2,0,a05-113.png
169,1,0,1,2,2,0,a05-116.png
170,1,0,2,2,2,0,a05-121.png
171,1,0,1,0,2,0,a05-125.png
172,2,0,1,0,2,6,a06-000.png
173,2,0,1,0,0,6,a06-004.png
174,0,1,2,2,1,6,a06-008.png
175,1,1,0,2,2,6,a06-014.png
176,2,0,2,0,2,6,a06-020.png
177,0,1,2,0,1,6,a06-025.png
178,2,1,0,1,2,6,a06-036.png
179,2,0,1,2,2,6,a06-039.png
180,0,1,0,2,0,6,a06-044.png
181,0,1,0,1,2,6,a06-051.png
182,0,0,2,0,2,6,a06-057.png
183,0,0,1,2,2,6,a06-064.png
184,0,0,1,2,1,6,a06-070.png
185,2,1,0,2,2,6,a06-075.png
186,1,0,1,2,2,6,a06-090.png
187,0,1,0,1,2,6,a06-095.png
188,2,1,2,2,1,6,a06-100.png
189,0,1,0,2,0,6,a06-110.png
190,0,0,2,2,1,6,a06-114.png
191,2,1,0,2,1,6,a06-119.png
192,0,0,1,0,2,6,a06-124.png
193,0,1,2,1,1,6,a06-128.png
194,0,0,1,0,2,6,a06-134.png
195,0,0,1,0,2,6,a06-141.png
196,2,0,2,0,2,6,a06-147.png
197,0,1,2,2,1,6,a06-152.png
198,2,0,1,0,2,6,a06-157.png
199,0,0,1,0,1,1,b01-000.png
200,2,0,2,0,2,1,b01-004.png
201,0,1,2,0,0,1,b01-009.png
202,0,1,2,2,0,1,b01-014.png
203,0,0,2,2,2,1,b01-018.png
204,0,0,1,0,2,1,b01-023.png
205,1,1,0,2,0,1,b01-027.png
206,0,0,2,0,2,1,b01-033.png
207,1,0,2,1,1,1,b01-038.png
208,0,0,2,0,2,1,b01-044.png
209,2,0,1,0,0,1,b01-049.png
210,1,0,2,2,2,1,b01-053.png
211,2,1,0,1,2,1,b01-057.png
212,1,1,0,1,2,1,b01-062.png
213,1,0,1,0,2,1,b01-073.png
214,2,0,2,2,0,1,b01-079.png
215,0,1,0,2,0,1,b01-084.png
216,0,1,0,2,0,1,b01-089.png
217,1,1,0,2,0,1,b01-094.png
218,0,1,0,2,2,1,b01-113.png
219,0,1,0,2,2,1,b01-118.png
220,2,1,0,2,2,1,b01-122.png
221,2,1,2,2,0,1,b01-127.png
222,2,1,2,2,0,1,b01-132.png
223,1,1,2,2,0,1,b01-136.png
224,2,0,1,2,0,1,b02-013.png
225,2,0,2,2,0,1,b02-035.png
226,0,1,2,2,0,1,b02-045.png
227,0,1,2,2,1,1,b02-097.png
228,2,0,1,0,1,1,b02-102.png
229,1,0,1,0,2,1,b02-105.png
230,0,1,2,0,0,1,b03-025.png
231,1,1,2,0,0,1,b03-087.png
232,0,1,2,0,0,1,b03-092.png
233,2,0,2,2,2,1,b03-098.png
234,1,1,2,1,0,1,b03-104.png
235,0,1,0,1,2,1,b03-109.png
236,0,1,2,2,0,1,b03-114.png
237,2,0,1,0,2,1,b04-000.png
238,2,0,1,2,2,1,b04-004.png
239,2,0,1,2,2,1,b04-010.png
240,2,0,1,2,2,1,b04-020.png
241,0,0,2,0,2,1,b04-026.png
242,2,0,1,0,2,1,b04-034.png
243,0,0,1,0,2,1,b04-040.png
244,2,0,2,0,0,1,b04-047.png
245,0,1,2,0,0,1,b04-054.png
246,0,1,2,2,0,1,b04-060.png
247,2,0,2,2,2,1,b04-066.png
248,0,0,1,0,2,1,b04-075.png
249,0,1,2,2,0,1,b04-081.png
250,0,0,2,1,2,1,b04-089.png
251,0,1,2,2,0,1,b04-096.png
252,0,0,1,2,0,1,b04-103.png
253,2,0,1,2,2,1,b04-107.png
254,0,0,2,2,2,1,b04-116.png
255,2,0,1,0,2,1,b04-121.png
256,0,0,1,0,2,1,b04-128.png
257,0,1,2,1,0,1,b04-134.png
258,0,1,0,1,2,1,b04-140.png
259,2,1,2,2,0,1,b04-147.png
260,0,1,2,2,0,1,b04-154.png
261,1,1,2,2,0,1,b04-162.png
262,0,1,0,2,2,1,b04-169.png
263,1,1,0,1,1,1,b04-175.png
264,0,0,2,0,2,1,b04-181.png
265,0,1,2,2,0,1,b04-187.png
266,2,0,1,2,2,1,b04-195.png
267,0,0,1,2,2,1,b04-202.png
268,1,1,0,0,0,1,b04-208.png
269,2,1,0,0,0,1,b05-017.png
270,0,1,0,1,2,1,b05-032.png
271,2,1,0,2,2,1,b05-038.png
272,0,1,2,1,2,1,b05-042.png
273,0,1,0,1,0,1,b05-045.png
274,0,1,2,2,0,1,b05-050.png
275,2,1,0,0,1,1,b05-055.png
276,0,1,0,2,2,1,b05-058.png
277,2,1,2,0,0,1,b05-062.png
278,2,0,1,2,1,1,b05-067.png
279,2,1,0,0,1,1,b05-071.png
280,0,0,2,2,2,1,b05-074.png
